LOCATION;Country;SUBJECT;Subject;MEASURE;Measure;FREQUENCY;Frequency;TIME;Period;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1996-Q1;Q1-1996;SEK;Swedish Krona;6;Millions;2021;2021;750406;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1996-Q2;Q2-1996;SEK;Swedish Krona;6;Millions;2021;2021;744606;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1996-Q3;Q3-1996;SEK;Swedish Krona;6;Millions;2021;2021;747495;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1996-Q4;Q4-1996;SEK;Swedish Krona;6;Millions;2021;2021;752926;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1997-Q1;Q1-1997;SEK;Swedish Krona;6;Millions;2021;2021;759802;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1997-Q2;Q2-1997;SEK;Swedish Krona;6;Millions;2021;2021;768637;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1997-Q3;Q3-1997;SEK;Swedish Krona;6;Millions;2021;2021;774515;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1997-Q4;Q4-1997;SEK;Swedish Krona;6;Millions;2021;2021;790080;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1998-Q1;Q1-1998;SEK;Swedish Krona;6;Millions;2021;2021;793465;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1998-Q2;Q2-1998;SEK;Swedish Krona;6;Millions;2021;2021;804114;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1998-Q3;Q3-1998;SEK;Swedish Krona;6;Millions;2021;2021;808447;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1998-Q4;Q4-1998;SEK;Swedish Krona;6;Millions;2021;2021;817828;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1999-Q1;Q1-1999;SEK;Swedish Krona;6;Millions;2021;2021;827110;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1999-Q2;Q2-1999;SEK;Swedish Krona;6;Millions;2021;2021;832406;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1999-Q3;Q3-1999;SEK;Swedish Krona;6;Millions;2021;2021;838949;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1999-Q4;Q4-1999;SEK;Swedish Krona;6;Millions;2021;2021;854480;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2000-Q1;Q1-2000;SEK;Swedish Krona;6;Millions;2021;2021;860575;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2000-Q2;Q2-2000;SEK;Swedish Krona;6;Millions;2021;2021;881927;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2000-Q3;Q3-2000;SEK;Swedish Krona;6;Millions;2021;2021;888991;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2000-Q4;Q4-2000;SEK;Swedish Krona;6;Millions;2021;2021;886452;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2001-Q1;Q1-2001;SEK;Swedish Krona;6;Millions;2021;2021;889562;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2001-Q2;Q2-2001;SEK;Swedish Krona;6;Millions;2021;2021;889770;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2001-Q3;Q3-2001;SEK;Swedish Krona;6;Millions;2021;2021;893172;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2001-Q4;Q4-2001;SEK;Swedish Krona;6;Millions;2021;2021;900695;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2002-Q1;Q1-2002;SEK;Swedish Krona;6;Millions;2021;2021;899655;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2002-Q2;Q2-2002;SEK;Swedish Krona;6;Millions;2021;2021;913500;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2002-Q3;Q3-2002;SEK;Swedish Krona;6;Millions;2021;2021;918925;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2002-Q4;Q4-2002;SEK;Swedish Krona;6;Millions;2021;2021;920597;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2003-Q1;Q1-2003;SEK;Swedish Krona;6;Millions;2021;2021;931079;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2003-Q2;Q2-2003;SEK;Swedish Krona;6;Millions;2021;2021;926045;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2003-Q3;Q3-2003;SEK;Swedish Krona;6;Millions;2021;2021;939100;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2003-Q4;Q4-2003;SEK;Swedish Krona;6;Millions;2021;2021;945304;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2004-Q1;Q1-2004;SEK;Swedish Krona;6;Millions;2021;2021;962338;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2004-Q2;Q2-2004;SEK;Swedish Krona;6;Millions;2021;2021;966523;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2004-Q3;Q3-2004;SEK;Swedish Krona;6;Millions;2021;2021;974062;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2004-Q4;Q4-2004;SEK;Swedish Krona;6;Millions;2021;2021;982170;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2005-Q1;Q1-2005;SEK;Swedish Krona;6;Millions;2021;2021;986537;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2005-Q2;Q2-2005;SEK;Swedish Krona;6;Millions;2021;2021;992990;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2005-Q3;Q3-2005;SEK;Swedish Krona;6;Millions;2021;2021;1004780;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2005-Q4;Q4-2005;SEK;Swedish Krona;6;Millions;2021;2021;1011737;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2006-Q1;Q1-2006;SEK;Swedish Krona;6;Millions;2021;2021;1027292;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2006-Q2;Q2-2006;SEK;Swedish Krona;6;Millions;2021;2021;1044277;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2006-Q3;Q3-2006;SEK;Swedish Krona;6;Millions;2021;2021;1056521;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2006-Q4;Q4-2006;SEK;Swedish Krona;6;Millions;2021;2021;1063490;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2007-Q1;Q1-2007;SEK;Swedish Krona;6;Millions;2021;2021;1073686;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2007-Q2;Q2-2007;SEK;Swedish Krona;6;Millions;2021;2021;1079437;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2007-Q3;Q3-2007;SEK;Swedish Krona;6;Millions;2021;2021;1087831;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2007-Q4;Q4-2007;SEK;Swedish Krona;6;Millions;2021;2021;1099826;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2008-Q1;Q1-2008;SEK;Swedish Krona;6;Millions;2021;2021;1091564;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2008-Q2;Q2-2008;SEK;Swedish Krona;6;Millions;2021;2021;1090731;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2008-Q3;Q3-2008;SEK;Swedish Krona;6;Millions;2021;2021;1085514;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2008-Q4;Q4-2008;SEK;Swedish Krona;6;Millions;2021;2021;1046623;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2009-Q1;Q1-2009;SEK;Swedish Krona;6;Millions;2021;2021;1031583;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2009-Q2;Q2-2009;SEK;Swedish Krona;6;Millions;2021;2021;1032013;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2009-Q3;Q3-2009;SEK;Swedish Krona;6;Millions;2021;2021;1031541;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2009-Q4;Q4-2009;SEK;Swedish Krona;6;Millions;2021;2021;1036437;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2010-Q1;Q1-2010;SEK;Swedish Krona;6;Millions;2021;2021;1063913;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2010-Q2;Q2-2010;SEK;Swedish Krona;6;Millions;2021;2021;1085779;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2010-Q3;Q3-2010;SEK;Swedish Krona;6;Millions;2021;2021;1099215;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2010-Q4;Q4-2010;SEK;Swedish Krona;6;Millions;2021;2021;1116722;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2011-Q1;Q1-2011;SEK;Swedish Krona;6;Millions;2021;2021;1120917;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2011-Q2;Q2-2011;SEK;Swedish Krona;6;Millions;2021;2021;1124657;;
