LOCATION;Country;SUBJECT;Subject;MEASURE;Measure;FREQUENCY;Frequency;TIME;Period;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1996-Q1;Q1-1996;SEK;Swedish Krona;6;Millions;2021;2021;269392;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1996-Q2;Q2-1996;SEK;Swedish Krona;6;Millions;2021;2021;269325;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1996-Q3;Q3-1996;SEK;Swedish Krona;6;Millions;2021;2021;267507;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1996-Q4;Q4-1996;SEK;Swedish Krona;6;Millions;2021;2021;270255;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1997-Q1;Q1-1997;SEK;Swedish Krona;6;Millions;2021;2021;268500;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1997-Q2;Q2-1997;SEK;Swedish Krona;6;Millions;2021;2021;268750;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1997-Q3;Q3-1997;SEK;Swedish Krona;6;Millions;2021;2021;270648;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1997-Q4;Q4-1997;SEK;Swedish Krona;6;Millions;2021;2021;269232;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1998-Q1;Q1-1998;SEK;Swedish Krona;6;Millions;2021;2021;278534;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1998-Q2;Q2-1998;SEK;Swedish Krona;6;Millions;2021;2021;278779;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1998-Q3;Q3-1998;SEK;Swedish Krona;6;Millions;2021;2021;281164;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1998-Q4;Q4-1998;SEK;Swedish Krona;6;Millions;2021;2021;280911;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1999-Q1;Q1-1999;SEK;Swedish Krona;6;Millions;2021;2021;284156;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1999-Q2;Q2-1999;SEK;Swedish Krona;6;Millions;2021;2021;283884;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1999-Q3;Q3-1999;SEK;Swedish Krona;6;Millions;2021;2021;282132;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;1999-Q4;Q4-1999;SEK;Swedish Krona;6;Millions;2021;2021;282601;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2000-Q1;Q1-2000;SEK;Swedish Krona;6;Millions;2021;2021;281166;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2000-Q2;Q2-2000;SEK;Swedish Krona;6;Millions;2021;2021;281270;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2000-Q3;Q3-2000;SEK;Swedish Krona;6;Millions;2021;2021;282200;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2000-Q4;Q4-2000;SEK;Swedish Krona;6;Millions;2021;2021;280941;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2001-Q1;Q1-2001;SEK;Swedish Krona;6;Millions;2021;2021;281296;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2001-Q2;Q2-2001;SEK;Swedish Krona;6;Millions;2021;2021;281946;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2001-Q3;Q3-2001;SEK;Swedish Krona;6;Millions;2021;2021;282668;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2001-Q4;Q4-2001;SEK;Swedish Krona;6;Millions;2021;2021;285125;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2002-Q1;Q1-2002;SEK;Swedish Krona;6;Millions;2021;2021;287051;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2002-Q2;Q2-2002;SEK;Swedish Krona;6;Millions;2021;2021;288213;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2002-Q3;Q3-2002;SEK;Swedish Krona;6;Millions;2021;2021;288936;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2002-Q4;Q4-2002;SEK;Swedish Krona;6;Millions;2021;2021;290183;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2003-Q1;Q1-2003;SEK;Swedish Krona;6;Millions;2021;2021;290608;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2003-Q2;Q2-2003;SEK;Swedish Krona;6;Millions;2021;2021;290756;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2003-Q3;Q3-2003;SEK;Swedish Krona;6;Millions;2021;2021;291515;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2003-Q4;Q4-2003;SEK;Swedish Krona;6;Millions;2021;2021;290653;;
